panjang_patch_mm,lebar_patch_mm,tebal_substrat_mm,epsilon_r,frekuensi_resonansi_ghz,s11_db,gain_dbi,bandwidth_mhz,efisiensi_persen
34.292,43.11,1.6,2.2,2.8778,-30.83,6.44,185.75,81.76
52.636,59.889,1.6,2.2,1.8954,-31.91,7.95,230.99,83.93
39.987,48.342,1.6,2.2,2.4793,-31.68,7.18,221.59,86.0
41.594,47.786,1.6,2.2,2.3878,-26.86,6.84,200.45,88.65
45.483,53.76,1.6,2.2,2.1865,-29.31,7.32,207.69,83.96
52.796,67.983,1.6,2.2,1.8864,-33.19,7.78,220.72,88.42
44.71,52.166,1.6,2.2,2.2241,-30.45,7.62,224.54,88.3
49.141,65.866,1.6,2.2,2.0229,-26.54,7.02,222.53,88.94
32.791,42.387,1.6,2.2,3.004,-10.57,7.31,175.08,80.91
39.127,49.271,1.6,2.2,2.5307,-24.28,7.01,213.96,87.66
29.697,38.36,1.6,2.2,3.3067,-33.62,6.17,132.3,74.77
38.569,47.101,1.6,2.2,2.5678,-21.67,7.06,232.52,85.71
33.463,37.76,1.6,2.2,2.9533,-13.6,6.06,167.03,78.37
42.83,53.668,1.6,2.2,2.3169,-21.85,6.77,239.31,81.59
35.304,43.68,1.6,2.2,2.7983,-28.16,6.51,190.99,83.83
29.92,39.17,1.6,2.2,3.2819,-18.37,6.2,134.15,72.83
37.621,43.402,1.6,2.2,2.6337,-23.48,6.24,197.63,80.82
32.316,42.208,1.6,2.2,3.0462,-17.55,6.5,154.5,84.2
40.316,53.051,1.6,2.2,2.4561,-26.54,7.56,218.09,86.84
30.885,35.4,1.6,2.2,3.1913,-14.08,5.76,134.4,84.64
47.741,56.848,1.6,2.2,2.0848,-35.3,7.49,201.79,89.57
34.054,42.915,1.6,2.2,2.8972,-17.9,7.33,181.88,79.41
30.377,38.539,1.6,2.2,3.2362,-31.33,6.37,134.29,80.5
29.86,34.176,1.6,2.2,3.2975,-35.99,5.91,126.17,76.82
38.219,44.896,1.6,2.2,2.5926,-22.44,8.35,205.28,80.22
32.137,37.663,1.6,2.2,3.0692,-30.28,6.37,135.45,84.33
28.815,34.065,1.6,2.2,3.4107,-27.77,5.77,125.43,75.33
47.048,55.331,1.6,2.2,2.1153,-25.03,8.65,222.4,86.32
47.287,60.493,1.6,2.2,2.1021,-21.95,8.1,225.93,87.3
34.302,42.192,1.6,2.2,2.8781,-30.39,7.04,160.06,76.95
31.02,36.745,1.6,2.2,3.1756,-36.48,5.97,145.42,79.18
52.129,60.439,1.6,2.2,1.913,-34.63,7.64,243.79,84.94
43.595,52.347,1.6,2.2,2.2787,-28.23,8.03,234.64,90.64
36.461,42.059,1.6,2.2,2.7154,-29.25,6.85,181.76,84.9
36.997,43.002,1.6,2.2,2.6766,-31.24,6.52,176.9,86.58
35.886,41.408,1.6,2.2,2.7578,-23.62,7.09,180.52,87.25
32.815,40.7,1.6,2.2,3.0043,-21.89,6.24,161.43,87.54
27.254,31.599,1.6,2.2,3.6006,-21.34,5.55,112.23,75.37
45.822,56.834,1.6,2.2,2.169,-29.01,7.15,230.91,91.03
34.223,42.342,1.6,2.2,2.8843,-16.94,5.75,158.1,90.5
44.84,58.155,1.6,2.2,2.214,-35.7,7.26,219.81,88.81
45.836,53.238,1.6,2.2,2.1706,-31.82,7.91,230.42,90.61
47.643,58.862,1.6,2.2,2.0878,-22.44,8.17,241.37,86.39
40.828,47.768,1.6,2.2,2.4308,-36.8,8.01,224.63,86.76
28.502,37.941,1.6,2.2,3.4384,-35.31,5.57,151.18,74.32
30.538,39.161,1.6,2.2,3.2191,-17.8,6.45,129.57,80.53
47.588,58.357,1.6,2.2,2.0904,-32.22,7.15,228.22,83.59
29.553,30.447,1.6,2.2,3.3384,-21.17,5.33,110.05,80.43
38.352,43.86,1.6,2.2,2.5851,-25.29,6.93,188.1,83.29
35.467,42.13,1.6,2.2,2.7879,-24.54,6.74,165.03,79.37
38.382,45.04,1.6,2.2,2.5819,-22.19,7.22,200.19,82.48
38.431,49.921,1.6,2.2,2.5741,-33.45,8.63,222.12,83.99
44.806,53.052,1.6,2.2,2.2189,-35.11,6.95,218.76,91.22
47.845,62.478,1.6,2.2,2.0774,-12.75,7.79,212.63,88.16
43.195,47.795,1.6,2.2,2.3026,-34.66,7.17,218.25,89.77
29.121,33.868,1.6,2.2,3.3773,-30.57,5.34,122.2,80.05
44.646,54.837,1.6,2.2,2.2253,-31.25,8.11,209.95,90.2
57.047,62.318,1.6,2.2,1.752,-21.2,7.19,209.71,85.35
28.82,36.063,1.6,2.2,3.406,-34.95,5.85,134.71,79.0
31.052,36.862,1.6,2.2,3.1723,-22.42,6.12,136.05,82.94
44.51,48.473,1.6,2.2,2.2365,-35.7,7.77,220.7,89.51
34.942,41.837,1.6,2.2,2.8283,-25.4,6.37,181.51,82.09
33.833,39.573,1.6,2.2,2.9198,-37.13,6.51,155.88,82.6
54.525,64.95,1.6,2.2,1.8295,-33.31,7.51,223.8,88.15
48.609,55.317,1.6,2.2,2.0497,-30.56,7.47,232.4,86.65
32.592,38.346,1.6,2.2,3.0274,-33.76,6.65,138.6,80.56
30.197,33.66,1.6,2.2,3.2637,-31.53,6.37,122.03,78.62
32.515,35.446,1.6,2.2,3.0391,-12.78,5.65,130.69,75.58
39.867,49.155,1.6,2.2,2.4858,-36.39,7.98,226.38,94.17
38.698,42.223,1.6,2.2,2.5648,-24.49,6.78,183.72,80.11
43.416,50.841,1.6,2.2,2.2888,-20.92,7.49,214.22,94.67
31.362,36.743,1.6,2.2,3.1428,-14.24,5.74,143.89,84.29
51.854,58.245,1.6,2.2,1.9239,-38.11,7.72,210.71,87.53
50.467,54.378,1.6,2.2,1.9772,-34.28,8.01,224.57,87.08
29.723,36.147,1.6,2.2,3.308,-33.66,5.92,129.45,79.11
44.15,50.682,1.6,2.2,2.2524,-20.49,7.3,218.9,92.13
31.66,43.092,1.6,2.2,3.1049,-31.57,6.3,184.88,83.24
36.298,41.517,1.6,2.2,2.7277,-27.37,6.62,163.26,79.85
31.67,38.768,1.6,2.2,3.1103,-17.55,6.29,144.74,77.11
42.854,49.19,1.6,2.2,2.3191,-16.41,8.6,229.92,90.83
37.866,44.277,1.6,2.2,2.6164,-32.74,7.36,201.79,81.2
33.418,40.902,1.6,2.2,2.9524,-17.77,6.21,178.01,78.33
34.699,41.603,1.6,2.2,2.8475,-31.76,6.29,166.58,83.65
46.606,58.946,1.6,2.2,2.1326,-19.92,7.37,211.15,83.87
47.824,56.486,1.6,2.2,2.0815,-27.89,7.49,245.23,88.2
47.064,54.984,1.6,2.2,2.1149,-32.5,7.72,212.24,92.68
36.93,46.021,1.6,2.2,2.6779,-29.57,6.69,183.5,85.62
35.708,44.396,1.6,2.2,2.7673,-30.04,6.74,188.77,81.63
29.614,36.231,1.6,2.2,3.3193,-35.86,5.13,146.48,75.74
34.705,40.27,1.6,2.2,2.8488,-27.55,7.14,178.52,79.55
33.135,37.989,1.6,2.2,2.9807,-22.62,6.14,170.27,80.97
45.438,54.759,1.6,2.2,2.188,-27.49,7.65,212.8,89.36
54.153,73.183,1.6,2.2,1.8387,-34.33,7.4,219.45,87.28
46.798,52.414,1.6,2.2,2.1281,-23.61,7.43,211.14,90.05
37.633,44.963,1.6,2.2,2.6312,-36.87,6.38,219.74,83.07
37.621,49.58,1.6,2.2,2.6274,-12.8,7.16,232.67,89.45
35.13,42.218,1.6,2.2,2.8134,-36.78,6.54,185.54,83.95
32.388,38.769,1.6,2.2,3.0448,-27.25,5.91,138.57,81.38
36.847,43.489,1.6,2.2,2.6865,-33.58,7.06,173.68,82.76
27.783,32.753,1.6,2.2,3.5331,-24.14,5.29,130.29,74.06
30.801,35.802,1.6,2.2,3.1988,-33.65,5.88,147.23,78.97
29.7,36.801,1.6,2.2,3.3091,-37.77,5.28,155.73,81.41
31.947,42.638,1.6,2.2,3.079,-34.07,6.29,164.18,83.17
51.254,60.985,1.6,2.2,1.9444,-17.41,8.13,218.6,84.35
27.987,36.306,1.6,2.2,3.5012,-32.19,5.83,127.44,73.48
42.676,52.587,1.6,2.2,2.3257,-32.31,7.64,205.35,90.25
37.761,43.469,1.6,2.2,2.6243,-20.67,6.62,190.02,84.47
53.554,64.24,1.6,2.2,1.862,-30.88,7.87,221.84,89.3
30.812,37.717,1.6,2.2,3.1942,-24.35,5.9,144.7,81.09
42.364,47.442,1.6,2.2,2.3463,-36.67,7.31,221.6,88.51
32.616,39.909,1.6,2.2,3.0229,-25.08,6.16,154.47,78.31
47.951,58.558,1.6,2.2,2.075,-17.93,8.26,236.49,81.71
51.939,61.216,1.6,2.2,1.9194,-28.07,8.16,220.13,82.95
35.025,40.581,1.6,2.2,2.8236,-17.7,6.69,178.06,83.8
28.69,34.814,1.6,2.2,3.4232,-32.53,5.57,135.8,77.83
43.8,51.816,1.6,2.2,2.2688,-35.35,7.3,238.23,88.72
30.987,38.806,1.6,2.2,3.1753,-25.41,5.8,147.82,79.65
35.095,40.194,1.6,2.2,2.8187,-15.43,6.31,156.86,78.25
51.893,63.989,1.6,2.2,1.9198,-24.66,7.92,209.9,84.87
32.399,37.249,1.6,2.2,3.0463,-33.54,6.08,150.23,77.9
44.234,51.646,1.6,2.2,2.2475,-11.52,7.23,227.11,85.01
38.363,42.733,1.6,2.2,2.5856,-36.29,7.78,213.85,88.91
35.039,42.165,1.6,2.2,2.8204,-33.94,6.25,174.4,79.23
50.149,59.504,1.6,2.2,1.9865,-35.56,7.54,229.75,86.94
37.576,46.419,1.6,2.2,2.6335,-31.21,7.23,217.54,79.68
31.826,33.744,1.6,2.2,3.1049,-31.87,5.43,151.74,75.11
34.9,42.146,1.6,2.2,2.8312,-13.62,5.99,182.47,81.96
32.077,37.359,1.6,2.2,3.0752,-29.13,6.82,141.97,80.38
27.533,33.785,1.6,2.2,3.561,-26.63,5.32,120.97,78.61
39.862,43.497,1.6,2.2,2.4915,-27.52,6.89,221.37,92.51
34.658,43.794,1.6,2.2,2.8479,-16.46,6.22,207.76,86.07
29.208,37.693,1.6,2.2,3.3602,-34.81,5.5,145.75,77.94
53.446,63.2,1.6,2.2,1.8661,-33.31,7.16,226.58,83.83
39.635,48.588,1.6,2.2,2.5003,-36.18,7.22,220.12,88.93
28.813,33.842,1.6,2.2,3.4114,-35.74,6.19,133.79,80.56
44.221,57.54,1.6,2.2,2.2442,-35.34,7.52,253.66,88.01
46.154,53.507,1.6,2.2,2.156,-36.48,7.46,214.2,84.27
28.933,35.763,1.6,2.2,3.3941,-20.4,5.8,134.19,74.67
34.194,42.233,1.6,2.2,2.8867,-17.86,6.53,179.0,82.63
48.894,58.134,1.6,2.2,2.0366,-24.8,7.93,226.87,86.57
37.131,42.928,1.6,2.2,2.6675,-22.03,7.52,211.19,85.07
28.226,35.999,1.6,2.2,3.4738,-14.48,5.77,145.7,81.7
27.88,33.77,1.6,2.2,3.5192,-34.71,5.47,127.86,79.36
52.502,63.887,1.6,2.2,1.8983,-14.83,7.36,231.97,85.84
30.398,37.109,1.6,2.2,3.2366,-34.21,5.9,148.5,77.51
49.95,57.391,1.6,2.2,1.9953,-24.63,7.75,226.66,90.57
32.859,36.539,1.6,2.2,3.007,-26.65,5.76,137.29,78.39
31.983,40.315,1.6,2.2,3.0791,-32.96,5.79,153.09,83.04
39.247,44.868,1.6,2.2,2.5275,-30.02,7.42,210.16,86.35
44.001,53.452,1.6,2.2,2.2577,-23.36,7.88,220.2,86.45
53.206,59.353,1.6,2.2,1.876,-21.76,7.32,219.46,86.01
52.866,56.59,1.6,2.2,1.8891,-15.56,7.01,223.97,90.32
50.58,55.055,1.6,2.2,1.9726,-35.2,7.3,235.88,85.21
46.411,51.724,1.6,2.2,2.1457,-37.97,7.76,218.99,87.85
28.281,35.747,1.6,2.2,3.4679,-23.99,5.96,142.01,77.19
36.313,40.297,1.6,2.2,2.7283,-23.75,6.43,179.08,82.05
40.272,49.777,1.6,2.2,2.4612,-34.72,7.84,228.91,89.93
32.864,37.457,1.6,2.2,3.0049,-34.46,6.6,163.62,82.29
