Gain_sim,Gain_pred,S11_sim,S11_pred,Eff_sim,Eff_pred
3.067,2.9904804,5.45,6.9278455,-21.29,-25.27837
2.3226,2.4284472,7.15,7.9376144,-28.53,-25.213173
2.1992,2.2923834,7.64,8.01765,-13.03,-25.315414
3.3564,3.2622964,5.69,6.7115803,-34.92,-25.079948
2.5485,2.7201169,7.49,7.6120415,-12.8,-25.184309
2.1194,2.2678428,7.54,8.076212,-35.84,-25.53725
2.8778,2.910286,6.44,7.1939254,-30.83,-24.99762
1.8954,1.9401724,7.95,8.027214,-31.91,-27.19064
2.4793,2.631467,7.18,7.713964,-31.68,-25.197224
2.3878,2.4447093,6.84,7.7074666,-26.86,-25.622576
2.1865,2.238424,7.32,7.8538146,-29.31,-26.025513
1.8864,1.8771459,7.78,8.022452,-33.19,-27.233145
2.2241,2.355074,7.62,7.9770274,-30.45,-25.466095
2.0229,2.069588,7.02,8.052947,-26.54,-26.163282
3.004,2.9724507,7.31,7.092748,-10.57,-24.778448
2.5307,2.657996,7.01,7.6763287,-24.28,-25.038273
3.3067,3.026743,6.17,6.749036,-33.62,-24.589384
2.5678,2.805319,7.06,7.6183844,-21.67,-25.097202
2.9533,2.9026036,6.06,6.9393673,-13.6,-25.715014
2.3169,2.4983277,6.77,8.042566,-21.85,-24.988361
2.7983,2.8560526,6.51,7.269073,-28.16,-25.104368
3.2819,3.007363,6.2,6.799099,-18.37,-24.455902
2.6337,2.717449,6.24,7.3895364,-23.48,-25.46657
3.0462,2.8892453,6.5,7.058336,-17.55,-24.613932
2.4561,2.5847268,7.56,7.8475366,-26.54,-24.847685
3.1913,2.9546714,5.76,6.698551,-14.08,-25.607187
2.0848,2.0795264,7.49,7.792539,-35.3,-26.873991
2.8972,2.9054027,7.33,7.1739507,-17.9,-24.964748
3.2362,2.9648588,6.37,6.8058763,-31.33,-24.698065
3.2975,3.0258994,5.91,6.579091,-35.99,-25.644444
2.5926,2.702518,8.35,7.4817834,-22.44,-25.360458
3.0692,2.8002899,6.37,6.886062,-30.28,-25.277302
3.4107,3.136405,5.77,6.50194,-27.77,-25.492058
2.1153,2.215434,8.65,7.9781146,-25.03,-25.908405
2.1021,2.193384,8.1,8.052996,-21.95,-25.719414
2.8781,2.7638159,7.04,7.1423564,-30.39,-25.14642
3.1756,2.997524,5.97,6.769296,-36.48,-25.444555
1.913,2.0194943,7.64,8.154076,-34.63,-26.518751
2.2787,2.4406655,8.03,8.016563,-28.23,-25.244133
2.7154,2.7198136,6.85,7.2617373,-29.25,-25.555828
2.6766,2.6547964,6.52,7.303018,-31.24,-25.580616
2.7578,2.7549124,7.09,7.211369,-23.62,-25.565521
3.0043,2.8864944,6.24,7.0355773,-21.89,-25.007421
3.6006,3.2553554,5.55,6.3065352,-21.34,-25.479992
2.169,2.3140297,7.15,8.095593,-29.01,-25.274128
2.8843,2.7601671,5.75,7.1413474,-16.94,-25.096804
2.214,2.3189518,7.26,8.022166,-35.7,-25.230745
2.1706,2.3217769,7.91,8.041309,-31.82,-25.43029
2.0878,2.2510495,8.17,8.176994,-22.44,-25.385107
2.4308,2.5929008,8.01,7.7485614,-36.8,-25.309845
3.4384,3.2955387,5.57,6.658462,-35.31,-24.838875
3.2191,2.919907,6.45,6.8280454,-17.8,-24.571293
2.0904,2.1983354,7.15,8.050804,-32.22,-25.831833
3.3384,2.9943323,5.33,6.4230933,-21.17,-26.386982
2.5851,2.6140862,6.93,7.4208617,-25.29,-25.593721
2.7879,2.700762,6.74,7.1949277,-24.54,-25.477102
2.5819,2.6615498,7.22,7.4858627,-22.19,-25.419374
2.5741,2.7476025,8.63,7.679636,-33.45,-24.804047
2.2189,2.330075,6.95,7.959368,-35.11,-25.488508
2.0774,2.1038797,7.79,7.9480305,-12.75,-26.266119
2.3026,2.417229,7.17,7.8272657,-34.66,-25.653255
3.3773,3.0832033,5.34,6.5163903,-30.57,-25.536346
2.2253,2.292493,8.11,7.902376,-31.25,-25.654018
1.752,1.7205964,7.19,7.8690586,-21.2,-28.392595
3.406,3.1759706,5.85,6.5833044,-34.95,-25.09696
3.1723,2.9256997,6.12,6.7786264,-22.42,-25.28844
2.2365,2.355596,7.77,7.878775,-35.7,-25.722996
2.8283,2.838055,6.37,7.1786327,-25.4,-25.32475
2.9198,2.7762673,6.51,7.0397573,-37.13,-25.442034
1.8295,1.8138202,7.51,8.006787,-33.31,-27.796318
2.0497,2.1757054,7.47,8.040407,-30.56,-25.99319
3.0274,2.7776122,6.65,6.9310555,-33.76,-25.262094
3.2637,2.9655116,6.37,6.5867944,-31.53,-25.779318
3.0391,2.7521849,5.65,6.8205876,-12.78,-25.749537
2.4858,2.6621943,7.98,7.742161,-36.39,-25.072214
2.5648,2.5849674,6.78,7.3750825,-24.49,-25.749418
2.2888,2.384227,7.49,7.8837023,-20.92,-25.52443
3.1428,2.9474924,5.74,6.796998,-14.24,-25.473715
1.9239,1.9071013,7.72,7.8448324,-38.11,-27.740412
1.9772,2.0533285,8.01,7.9528947,-34.28,-26.702839
3.308,3.0345514,5.92,6.6511054,-33.66,-25.145157
2.2524,2.3647,7.3,7.9124336,-20.49,-25.55782
3.1049,3.1375673,6.3,7.0760517,-31.57,-24.601154
2.7277,2.638203,6.62,7.2020435,-27.37,-25.70236
3.1103,2.8915,6.29,6.910041,-17.55,-25.014317
2.3191,2.4773617,8.6,7.8904037,-16.41,-25.444183
2.6164,2.713697,7.36,7.4383407,-32.74,-25.394016
2.9524,2.9477699,6.21,7.0675545,-17.77,-25.16102
2.8475,2.7688007,6.29,7.1496654,-31.76,-25.360718
2.1326,2.171686,7.37,7.9154415,-19.92,-26.091328
2.0815,2.2651007,7.49,8.178155,-27.89,-25.400618
2.1149,2.1661155,7.72,7.877915,-32.5,-26.332338
2.6779,2.68325,6.69,7.4022894,-29.57,-25.222557
2.7673,2.8078082,6.74,7.312031,-30.04,-25.120869
3.3193,3.1720726,5.13,6.640988,-35.86,-25.360378
2.8488,2.8449945,7.14,7.109778,-27.55,-25.48508
2.9807,2.9581573,6.14,6.92645,-22.62,-25.666477
2.188,2.2622333,7.65,7.913605,-27.49,-25.798717
1.8387,1.8109287,7.4,8.077092,-34.33,-27.304636
2.1281,2.188555,7.43,7.84577,-23.61,-26.27919
2.6312,2.8237019,6.38,7.4707,-36.87,-25.257082
2.6274,2.8771548,7.16,7.6433234,-12.8,-24.654818
2.8134,2.8458123,6.54,7.2025614,-36.78,-25.295904
3.0448,2.7949588,5.91,6.934776,-27.25,-25.15075
2.6865,2.6460917,7.06,7.303646,-33.58,-25.548727
3.5331,3.297465,5.29,6.3978844,-24.14,-25.735956
3.1988,3.0523489,5.88,6.7073,-33.65,-25.647472
3.3091,3.2206566,5.28,6.6754565,-37.77,-25.443443
3.079,2.9754753,6.29,7.065213,-34.07,-24.492687
1.9444,1.9502797,8.13,7.937263,-17.41,-27.261295
3.5012,3.213979,5.83,6.5284567,-32.19,-24.766815
2.3257,2.389828,7.64,7.8497386,-32.31,-25.433674
2.6243,2.6658866,6.62,7.384378,-20.67,-25.539785
1.862,1.8494874,7.87,7.9857354,-30.88,-27.641459
3.1942,2.997884,5.9,6.802883,-24.35,-25.122898
2.3463,2.4827826,7.31,7.7941856,-36.67,-25.577162
3.0229,2.8630395,6.16,6.998813,-25.08,-25.068548
2.075,2.2168612,8.26,8.124471,-17.93,-25.615387
1.9194,1.9216955,8.16,7.9485483,-28.07,-27.399328
2.8236,2.8159235,6.69,7.1366687,-17.7,-25.523005
3.4232,3.2175329,5.57,6.5173774,-32.53,-25.429482
2.2688,2.4420457,7.3,8.026099,-35.35,-25.293465
3.1753,2.98422,5.8,6.866561,-25.41,-24.924263
2.8187,2.686222,6.31,7.107133,-15.43,-25.672392
1.9198,1.8875502,7.92,7.8949194,-24.66,-27.510513
3.0463,2.8826902,6.08,6.8759155,-33.54,-25.566668
2.2475,2.3856122,7.23,7.9734583,-11.52,-25.437733
2.5856,2.7625883,7.78,7.4298215,-36.29,-25.498587
2.8204,2.7842848,6.25,7.192717,-33.94,-25.333462
1.9865,2.0643916,7.54,8.035093,-35.56,-26.547358
2.6335,2.8048472,7.23,7.5185957,-31.21,-25.079325
3.1049,3.014172,5.43,6.664124,-31.87,-26.258308
2.8312,2.8458092,5.99,7.1879377,-13.62,-25.272766
3.0752,2.8480158,6.82,6.874103,-29.13,-25.394297
3.561,3.254687,5.32,6.395293,-26.63,-25.241564
2.4915,2.6829786,6.89,7.5494986,-27.52,-25.52243
2.8479,3.0161953,6.22,7.2487726,-16.46,-24.973633
3.3602,3.1850812,5.5,6.6885033,-34.81,-24.889843
1.8661,1.8693267,7.16,8.014507,-33.31,-27.537384
2.5003,2.650519,7.22,7.698139,-36.18,-25.129625
3.4114,3.2041397,6.19,6.48482,-35.74,-25.686382
2.2442,2.4755697,7.52,8.222438,-35.34,-24.656887
2.156,2.2350478,7.46,7.9000587,-36.48,-25.961414
3.3941,3.1649218,5.8,6.575757,-20.4,-25.19201
2.8867,2.8795571,6.53,7.156075,-17.86,-25.10349
2.0366,2.121416,7.93,8.012954,-24.8,-26.289219
2.6675,2.8342,7.52,7.3593965,-22.03,-25.433273
3.4738,3.3201978,5.77,6.5435467,-14.48,-25.244574
3.5192,3.2573717,5.47,6.433118,-34.71,-25.435553
1.8983,1.9283961,7.36,8.070155,-14.83,-27.075783
3.2366,3.0848157,5.9,6.739523,-34.21,-25.29824
1.9953,2.0686235,7.75,7.9887633,-24.63,-26.61002
3.007,2.7490072,5.76,6.8848033,-26.65,-25.62047
3.0791,2.9078543,5.79,6.98356,-32.96,-24.847868
2.5275,2.6561651,7.42,7.5461326,-30.02,-25.44185
2.2577,2.3736906,7.88,7.9708333,-23.36,-25.340113
1.876,1.871982,7.32,7.9240923,-21.76,-27.764668
1.8891,1.9219584,7.01,7.955195,-15.56,-27.382265
1.9726,2.0925236,7.3,8.057994,-35.2,-26.322802
2.1457,2.2502737,7.76,7.921346,-37.97,-25.866205
3.4679,3.291801,5.96,6.534305,-23.99,-25.228552
2.7283,2.7342978,6.43,7.1902504,-23.75,-25.669601
2.4612,2.6407633,7.84,7.78763,-34.72,-25.055075
3.0049,2.93872,6.6,6.8942003,-34.46,-25.689953
