Gain_sim,Gain_pred,S11_sim,S11_pred,Eff_sim,Eff_pred
2.1021,2.216589,8.1,7.043654,-21.95,-25.58258
2.8781,2.821864,7.04,6.299691,-30.39,-27.334126
3.1756,3.0999885,5.97,6.119546,-36.48,-27.35773
1.913,2.0536053,7.64,6.9453864,-34.63,-24.783897
2.2787,2.3755126,8.03,6.706766,-28.23,-25.731853
2.7154,2.6501791,6.85,6.2913947,-29.25,-27.245377
2.6766,2.6226923,6.52,6.330323,-31.24,-27.197447
2.7578,2.6839788,7.09,6.265192,-23.62,-27.314096
3.0043,2.910943,6.24,6.2350473,-21.89,-27.503756
3.6006,3.3660111,5.55,6.096125,-21.34,-26.954218
2.169,2.2815344,7.15,6.8927155,-29.01,-25.632513
2.8843,2.8358731,5.75,6.311549,-16.94,-27.298536
2.214,2.3071244,7.26,6.969637,-35.7,-25.86247
2.1706,2.2654793,7.91,6.7175956,-31.82,-25.634056
2.0878,2.2259912,8.17,6.9538035,-22.44,-25.307962
2.4308,2.4658375,8.01,6.533561,-36.8,-26.109734
3.4384,3.2189634,5.57,6.1787953,-35.31,-27.28608
3.2191,3.2321365,6.45,6.263307,-17.8,-26.741169
2.0904,2.1984978,7.15,6.9406996,-32.22,-25.560402
3.3384,3.2580364,5.33,6.0179296,-21.17,-27.055637
2.5851,2.5432954,6.93,6.362855,-25.29,-26.912136
2.7879,2.7301984,6.74,6.2886906,-24.54,-27.36808
2.5819,2.549956,7.22,6.4274616,-22.19,-26.773514
2.5741,2.5910587,8.63,6.625939,-33.45,-26.194427
2.2189,2.289562,6.95,6.735832,-35.11,-25.918243
2.0774,2.1758754,7.79,7.1321545,-12.75,-25.789667
2.3026,2.3346252,7.17,6.5108542,-34.66,-26.070742
3.3773,3.28531,5.34,6.1257763,-30.57,-26.978382
2.2253,2.284687,8.11,6.8306084,-31.25,-26.082762
1.752,1.8449942,7.19,6.9767656,-21.2,-24.500446
3.406,3.2678592,5.85,6.1710124,-34.95,-27.083504
3.1723,3.1481986,6.12,6.1544,-22.42,-27.096657
2.2365,2.2784686,7.77,6.524125,-35.7,-25.916826
2.8283,2.739756,6.37,6.2716594,-25.4,-27.36128
2.9198,2.864075,6.51,6.2065907,-37.13,-27.430468
1.8295,1.9571905,7.51,7.137562,-33.31,-24.773178
2.0497,2.1544125,7.47,6.7689233,-30.56,-25.34374
3.0274,3.033217,6.65,6.2073455,-33.76,-27.098549
3.2637,3.2319722,6.37,6.1009684,-31.53,-26.995478
3.0391,3.0637546,5.65,6.108578,-12.78,-27.097198
2.4858,2.5226026,7.98,6.599468,-36.39,-26.11634
2.5648,2.5103745,6.78,6.284628,-24.49,-26.923029
2.2888,2.3400655,7.49,6.6538897,-20.92,-26.063951
3.1428,3.0833263,5.74,6.12571,-14.24,-27.33225
1.9239,1.9957654,7.72,6.869894,-38.11,-25.287476
1.9772,2.0572183,8.01,6.6968007,-34.28,-25.221268
3.308,3.249445,5.92,6.179796,-33.66,-26.940655
2.2524,2.3108153,7.3,6.629773,-20.49,-25.959522
3.1049,2.9210968,6.3,6.274789,-31.57,-27.41484
2.7277,2.6819506,6.62,6.2695374,-27.37,-27.296703
3.1103,3.0643215,6.29,6.2035575,-17.55,-27.24503
2.3191,2.3822975,8.6,6.5778446,-16.41,-25.897255
2.6164,2.57511,7.36,6.391836,-32.74,-26.76531
2.9524,2.8290465,6.21,6.2224655,-17.77,-27.501001
2.8475,2.7724628,6.29,6.261671,-31.76,-27.455687
2.1326,2.2075784,7.37,6.9956684,-19.92,-25.93119
2.0815,2.2172382,7.49,6.838388,-27.89,-25.220226
2.1149,2.1811583,7.72,6.7998023,-32.5,-25.816217
2.6779,2.634812,6.69,6.446157,-29.57,-27.069586
2.7673,2.7000022,6.74,6.3695908,-30.04,-27.14353
3.3193,3.1741138,5.13,6.120456,-35.86,-27.338743
2.8488,2.7524385,7.14,6.2144074,-27.55,-27.4412
2.9807,2.8639147,6.14,6.1158757,-22.62,-27.577627
2.188,2.2524548,7.65,6.816775,-27.49,-25.984854
1.8387,2.0062366,7.4,7.5227714,-34.33,-24.864538
2.1281,2.1829243,7.43,6.674474,-23.61,-25.811176
2.6312,2.606954,6.38,6.429999,-36.87,-26.40672
2.6274,2.6434188,7.16,6.5975366,-12.8,-25.978653
2.8134,2.730047,6.54,6.2876067,-36.78,-27.279116
3.0448,3.0508757,5.91,6.223456,-27.25,-27.06899
2.6865,2.6354795,7.06,6.351632,-33.58,-27.229815
3.5331,3.2921343,5.29,6.069528,-24.14,-27.225643
3.1988,3.103419,5.88,6.0802436,-33.65,-27.43666
3.3091,3.1270638,5.28,6.102013,-37.77,-27.532778
3.079,2.956297,6.29,6.298019,-34.07,-27.46117
1.9444,2.0440135,8.13,7.009449,-17.41,-25.287056
3.5012,3.3351269,5.83,6.2088003,-32.19,-26.845001
2.3257,2.3647726,7.64,6.7506733,-32.31,-26.290565
2.6243,2.5744383,6.62,6.3499484,-20.67,-26.972172
1.862,1.9847624,7.87,7.1227374,-30.88,-24.952248
3.1942,3.1222641,5.9,6.158957,-24.35,-27.289175
2.3463,2.3788807,7.31,6.5070677,-36.67,-26.084648
3.0229,2.9488764,6.16,6.224036,-25.08,-27.440443
2.075,2.2017226,8.26,6.9365783,-17.93,-25.37131
1.9194,2.0225544,8.16,7.005317,-28.07,-25.159967
2.8236,2.7338529,6.69,6.228689,-17.7,-27.423798
3.4232,3.25521,5.57,6.1214275,-32.53,-27.20406
2.2688,2.3688219,7.3,6.6823173,-35.35,-25.65787
3.1753,3.0964515,5.8,6.193483,-25.41,-27.313913
2.8187,2.7781663,6.31,6.2284904,-15.43,-27.359539
1.9198,2.0268033,7.92,7.15558,-24.66,-25.376703
3.0463,2.9768586,6.08,6.1300178,-33.54,-27.515507
2.2475,2.3258946,7.23,6.6688404,-11.52,-25.827814
2.5856,2.5413334,7.78,6.336803,-36.29,-26.467009
2.8204,2.7352786,6.25,6.285796,-33.94,-27.438745
1.9865,2.1010935,7.54,6.9494605,-35.56,-25.253405
2.6335,2.6148825,7.23,6.478307,-31.21,-26.42043
3.1049,2.9987247,5.43,5.9768515,-31.87,-27.66374
2.8312,2.7428677,5.99,6.281472,-13.62,-27.342207
3.0752,3.045743,6.82,6.1573477,-29.13,-27.247599
3.561,3.349549,5.32,6.143153,-26.63,-26.927631
2.4915,2.478117,6.89,6.362024,-27.52,-26.207853
2.8479,2.7546694,6.22,6.3459635,-16.46,-26.833044
3.3602,3.2104332,5.5,6.1799684,-34.81,-27.229694
1.8661,1.9918821,7.16,7.0671005,-33.31,-24.857956
2.5003,2.5203826,7.22,6.5843253,-36.18,-26.270811
3.4114,3.2482858,6.19,6.08938,-35.74,-27.238045
2.2442,2.4010081,7.52,6.9185195,-35.34,-25.253931
2.156,2.219555,7.46,6.7391286,-36.48,-25.86084
3.3941,3.2611704,5.8,6.1597404,-20.4,-27.098091
2.8867,2.7836187,6.53,6.276565,-17.86,-27.432434
2.0366,2.1411915,7.93,6.9102197,-24.8,-25.450779
2.6675,2.6101522,7.52,6.3454,-22.03,-26.63426
3.4738,3.2438774,5.77,6.1331835,-14.48,-27.284409
3.5192,3.3109508,5.47,6.1182365,-34.71,-27.097336
1.8983,2.0393126,7.36,7.112628,-14.83,-24.922703
3.2366,3.12707,5.9,6.128289,-34.21,-27.384838
1.9953,2.0944548,7.75,6.851,-24.63,-25.300135
3.007,3.0085297,5.76,6.1373997,-26.65,-27.201479
3.0791,3.00034,5.79,6.2418456,-32.96,-27.391645
2.5275,2.5035026,7.42,6.4212875,-30.02,-26.484064
2.2577,2.3333488,7.88,6.7650046,-23.36,-25.950119
1.876,1.9678044,7.32,6.8869357,-21.76,-24.966002
1.8891,1.9728703,7.01,6.755476,-15.56,-24.930706
1.9726,2.0792515,7.3,6.7253914,-35.2,-25.021982
2.1457,2.2122598,7.76,6.63992,-37.97,-25.723227
3.4679,3.2560198,5.96,6.1374826,-23.99,-27.235092
2.7283,2.6466408,6.43,6.214756,-23.75,-27.26469
2.4612,2.5100868,7.84,6.622942,-34.72,-26.047247
3.0049,2.902466,6.6,6.100145,-34.46,-27.615509
