Gain_sim,Gain_pred,S11_sim,S11_pred,Eff_sim,Eff_pred
3.3305,3.1465664,3.34,4.489936,-24.81,-22.297243
2.3698,2.2275882,3.98,5.3148704,-30.61,-23.374105
3.0556,2.8655677,3.77,4.93226,-21.8,-21.472052
2.6802,2.5100725,3.81,5.1647677,-16.18,-22.391829
3.1444,2.8839133,3.67,4.6189547,-27.88,-22.542927
2.7101,2.5726492,3.17,5.19733,-31.3,-22.151073
2.4682,2.321148,3.29,5.419953,-29.92,-22.353157
2.0061,2.014434,4.28,5.7933145,-24.46,-23.619791
3.1823,2.9317563,3.5,4.6875906,-22.68,-22.037138
2.6915,2.5671356,3.81,5.2063985,-16.22,-22.223568
1.7777,1.8363711,6.2,6.198283,-19.48,-23.740988
2.7627,2.500046,4.3,5.1133437,-21.89,-21.947803
2.1517,2.1924407,4.87,5.7064595,-31.88,-22.96805
3.005,2.8131392,3.33,4.8760653,-25.56,-22.040974
2.8306,2.6074755,3.85,4.9325314,-22.1,-22.558323
2.4613,2.4166515,3.89,5.584916,-23.39,-21.99852
2.8639,2.7277594,3.57,5.0021853,-29.97,-22.244522
3.5811,3.2549438,3.29,4.309816,-22.51,-21.893553
2.5721,2.5817103,4.05,5.404356,-26.18,-22.173635
2.8255,2.5204494,3.41,4.9214735,-19.53,-22.704275
3.228,2.8931007,4.17,4.6905274,-29.07,-21.53988
2.2366,2.2004328,5.08,5.641935,-16.25,-22.87807
2.0842,2.050142,4.87,5.594448,-25.94,-23.859127
2.327,2.2171366,5.07,5.4717855,-33.11,-22.991282
2.1327,2.235529,4.87,5.9506197,-29.42,-22.31509
3.5774,3.2073464,3.0,4.3615417,-20.6,-21.35974
1.9478,2.0807486,4.78,6.1659904,-31.42,-22.623142
2.8456,2.6995742,3.53,5.0773435,-16.95,-21.862606
2.1986,2.2432823,4.11,5.774141,-33.22,-22.603985
3.1358,2.9257267,4.74,4.821706,-28.76,-21.68263
2.3216,2.3652492,4.64,5.6558495,-17.55,-22.441319
2.1315,2.1176605,4.72,5.7456374,-31.79,-23.02009
3.3013,2.9373717,3.78,4.5589347,-22.3,-21.86776
3.2202,3.0914905,3.58,4.653563,-28.02,-22.177464
1.9726,2.0729637,5.41,6.1590843,-10.93,-22.364632
2.4553,2.3617704,4.06,5.3820534,-24.68,-22.733213
3.1133,2.8520215,4.14,4.861466,-28.56,-21.381166
2.843,2.6717138,3.9,5.039129,-28.3,-22.02793
2.3195,2.156338,3.68,5.2463903,-23.2,-23.79328
2.7021,2.3932796,4.04,4.959531,-25.6,-23.196196
2.6829,2.5608704,3.36,5.213526,-31.87,-22.239235
2.3852,2.2458,4.82,5.3925576,-30.76,-23.002987
2.3407,2.3018413,4.03,5.5917587,-25.84,-22.575752
3.0165,2.7772532,3.0,4.882703,-26.05,-21.847391
1.8729,1.8922999,4.92,5.8920608,-29.57,-24.031988
2.0985,2.1151166,4.86,5.7813215,-33.34,-23.106619
3.3861,3.0950544,3.96,4.652602,-18.94,-20.961893
2.5941,2.53978,4.78,5.2883725,-29.3,-22.391502
2.7917,2.7373285,3.5,5.2495203,-19.5,-21.449833
3.0948,2.8982675,3.58,4.6138864,-30.45,-22.716864
2.2854,2.302584,4.22,5.6992946,-32.62,-22.43701
2.9474,2.7567089,3.68,4.9031754,-31.1,-22.195656
2.5489,2.4548004,3.91,5.26542,-31.76,-22.638205
2.2276,2.231924,4.4,5.7597218,-15.42,-22.458973
3.1018,2.8283815,4.06,4.8036504,-29.33,-21.847775
1.9823,1.9800794,4.88,5.736932,-16.87,-23.941553
3.0612,2.6912992,3.0,4.719596,-30.35,-22.341446
2.6127,2.507958,4.46,5.3571033,-27.76,-22.004189
3.2114,2.961142,3.74,4.6651244,-26.89,-21.98599
1.8794,1.9925276,5.5,6.20012,-30.69,-22.976051
3.0936,2.8123999,3.43,4.721543,-18.59,-22.279322
1.7415,1.759347,5.64,6.0761824,-15.34,-24.326683
2.2479,2.191484,4.83,5.5754004,-23.24,-23.05364
3.4461,3.1698816,3.58,4.35765,-27.21,-22.43307
2.2505,2.1344805,4.72,5.5223727,-24.03,-23.02528
3.1731,2.775453,3.5,4.6409273,-28.66,-21.903753
2.3047,2.3407438,4.24,5.7286806,-24.19,-22.270573
2.1285,2.178727,4.47,5.7835054,-28.1,-22.906643
1.79,1.8135239,5.43,6.1343837,-32.72,-23.841225
2.1118,2.132061,4.51,5.7607565,-31.88,-23.112675
2.6929,2.4787204,3.79,4.956882,-15.94,-23.003668
2.1997,2.2950745,4.92,5.8994,-31.01,-22.17528
3.5527,3.2812145,3.0,4.216731,-29.17,-22.837847
3.283,2.9585376,3.43,4.594819,-28.01,-21.810442
2.1805,2.0982327,4.79,5.4526744,-22.41,-23.794601
2.1168,2.1395373,4.87,5.773657,-23.34,-23.033897
2.6079,2.5315204,4.24,5.2434397,-24.03,-22.452871
2.2856,2.261124,4.57,5.6498027,-31.7,-22.62644
1.9185,2.0051894,5.39,6.040467,-30.44,-23.251263
2.8145,2.6647289,3.44,5.039231,-32.89,-22.246532
2.7231,2.5240765,3.61,5.1300173,-28.41,-22.303366
2.1387,2.0860157,4.89,5.6522274,-31.85,-23.299255
3.4758,3.21464,3.0,4.4113646,-28.33,-21.97528
3.4231,3.1592326,3.0,4.3571157,-28.68,-22.560936
2.3053,2.246216,4.5,5.4891787,-18.42,-23.082495
1.8981,2.004459,5.44,6.1983275,-31.02,-22.827375
1.8501,1.8143201,5.46,5.861057,-17.92,-24.330435
3.2279,3.0127316,3.78,4.72403,-20.38,-21.65572
2.402,2.3211567,4.7,5.4584227,-24.95,-22.75107
2.4447,2.371034,5.0,5.527936,-12.08,-22.25397
3.3691,3.1065676,3.83,4.646193,-28.66,-21.230005
2.009,2.0233982,5.25,5.8508687,-23.28,-23.363966
1.7757,1.73605,5.85,5.8764095,-28.6,-24.636326
2.2746,2.135387,4.48,5.262321,-11.68,-23.918474
2.233,2.2321813,4.49,5.619855,-27.93,-22.951054
1.9394,1.9702343,4.65,5.834705,-20.64,-23.769833
1.9458,2.0131617,4.3,6.0269933,-29.56,-23.14049
2.1658,2.2737486,5.04,5.874347,-28.24,-22.365383
3.2166,2.894784,3.0,4.702716,-28.72,-21.59966
2.3074,2.1947777,4.65,5.4162884,-28.84,-23.307812
2.8972,2.7093256,4.13,5.047466,-19.0,-21.626087
3.2246,2.8969767,3.6,4.6744256,-24.62,-21.697016
3.0116,2.8122768,3.3,4.7373605,-31.78,-22.52729
2.3786,2.2478347,4.4,5.415573,-22.82,-22.953985
2.8562,2.5593262,3.43,4.931626,-30.71,-22.466988
2.984,2.7629697,3.41,4.961372,-23.2,-21.578411
3.0537,2.8295224,4.04,4.8772125,-26.66,-21.732307
2.5919,2.6056976,3.83,5.3169656,-31.26,-22.289268
3.3149,3.163969,3.33,4.492516,-29.95,-22.37555
1.8733,1.8561846,5.56,5.8329773,-23.2,-24.334476
1.9737,1.9735256,5.79,5.828699,-30.33,-23.676456
3.3633,3.0227184,3.81,4.607841,-18.58,-21.197792
3.2292,2.981883,3.37,4.5129423,-31.46,-22.653145
3.1854,2.937931,4.21,4.8102503,-24.62,-21.381073
3.2191,2.8507462,3.18,4.649299,-31.07,-21.645597
3.0932,2.9182572,3.86,4.8293104,-11.23,-21.894892
2.664,2.6449432,3.89,5.3132405,-24.16,-22.013706
2.7358,2.4809382,4.32,5.104911,-29.69,-22.222158
2.8543,2.7062154,3.07,4.878949,-29.85,-22.50673
2.1675,2.2122326,4.25,5.7687116,-29.21,-22.78308
2.7345,2.6288867,4.81,5.2085285,-30.35,-21.963493
2.1149,2.1414664,4.6,5.729371,-19.49,-23.180786
2.8377,2.6597023,4.07,4.965524,-19.13,-22.383791
2.7464,2.641253,3.79,5.043277,-28.94,-22.449022
3.2188,2.8870945,3.75,4.599643,-32.08,-22.17819
2.0481,2.088917,4.96,5.925593,-11.79,-22.817087
3.1674,2.8568316,3.22,4.684847,-30.67,-22.029295
